City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
480,Lufilufi,WS,86.79,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
482,Ixtapa,MX,78.03,few clouds,20.7,-105.2,hotel la terminal
485,Alta Floresta,BR,73.06,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
486,Coahuayana,MX,85.82,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
487,Wailuku,US,82.09,clear sky,20.8911,-156.5047,Maui Beach Hotel
488,Salinas,US,77.0,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
489,Bonthe,SL,77.49,light rain,7.5264,-12.505,Bonthe Holiday Village
491,Arandas,MX,79.3,clear sky,20.7,-102.35,Hotel Centinela Grand
495,Port Blair,IN,78.46,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
496,Makakilo City,US,81.61,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
497,Namuac,PH,78.69,broken clouds,18.6109,121.1657,Mlin Hotel
500,Quepos,CR,82.81,broken clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
504,Ahuimanu,US,82.78,few clouds,21.4447,-157.8378,Paradise Bay Resort
506,Kudahuvadhoo,MV,82.67,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
507,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
511,Kutum,SD,71.02,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
512,Corpus Christi,US,83.16,broken clouds,27.8006,-97.3964,"Holiday Inn Corpus Christi Downtown Marina, an IHG Hotel"
513,Trairi,BR,78.94,broken clouds,-3.2778,-39.2689,janelas do mar
515,Kuala Terengganu,MY,79.02,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
520,Porbandar,IN,75.07,broken clouds,21.6422,69.6093,Lords Inn Porbandar
522,Pemba,MZ,76.37,overcast clouds,-12.974,40.5178,Guesthouse Samotina
523,Kirakira,SB,84.11,broken clouds,-10.4544,161.9205,SanBiz Lodge
527,Coruripe,BR,79.79,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
529,Barabai,ID,73.74,heavy intensity rain,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
530,Dwarka,IN,74.89,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
534,Yarada,IN,79.21,few clouds,17.65,83.2667,Yarada Jungle Beach Resorts
537,Kieta,PG,84.74,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
539,Wellington,NZ,74.07,overcast clouds,-41.2866,174.7756,CityLife Wellington
541,Roebourne,AU,85.28,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
544,Nambucca Heads,AU,73.4,clear sky,-30.65,153.0,Marcel Towers Holiday Apartments
545,Sinjai,ID,76.78,overcast clouds,-5.1241,120.25299999999999,Wisma Sandika
547,Alice Springs,AU,72.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
548,Seka,TH,75.31,broken clouds,17.9285,103.9552,โรงแรมเสาวลักษณ์วิลล่า
550,Cruzeiro Do Sul,BR,72.09,clear sky,-29.5128,-51.9853,Estrela Palace Hotel
553,La Asuncion,VE,75.97,broken clouds,11.0333,-63.8628,Colinas de Matasiete
554,Samarai,PG,85.06,few clouds,-10.6167,150.6667,Nuli Sapi
555,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
557,Half Moon Bay,US,75.88,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
558,Quang Ngai,VN,75.4,overcast clouds,15.1167,108.8,Central Hotel
564,Harper,LR,79.09,broken clouds,4.375,-7.7169,Screensaver
566,Labuhan,ID,77.54,overcast clouds,-6.8844,112.2051,DoubleFAG
567,Champerico,GT,84.78,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
568,Pontianak,ID,71.58,heavy intensity rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
569,Gorontalo,ID,76.08,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
572,Wajir,KE,80.47,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
573,Saint-Paul,RE,78.91,scattered clouds,-21.0096,55.2707,Boucan Canot
578,Ransang,PH,78.24,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
579,Rurrenabaque,BO,76.05,broken clouds,-14.4413,-67.5278,Casa de Campo
581,Angoche,MZ,72.61,scattered clouds,-16.2325,39.9086,Guest House HESADA
582,Pahrump,US,74.25,broken clouds,36.2083,-115.9839,Best Western Pahrump Oasis
583,Foumban,CM,70.56,broken clouds,5.7291,10.9001,Hotel Pekassa De Karche
584,Jucas,BR,76.5,overcast clouds,-6.5253,-39.5275,Hotel Casa Bella
586,Porto Velho,BR,78.85,few clouds,-8.7619,-63.9039,Ecos Hotel Conforto
588,Kuching,MY,73.62,scattered clouds,1.55,110.3333,Hilton Kuching
590,Sao Borja,BR,73.94,clear sky,-28.6606,-56.0044,Hotel Executivo
591,Jacareacanga,BR,74.64,broken clouds,-6.2222,-57.7528,Casa do Ian😎
592,Mapiripan,CO,76.64,heavy intensity rain,2.8892,-72.1256,Monserrate
594,Acapulco,MX,84.85,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
